MasterFile,CollisionDate,CollisionTime,RoadwayName,ParkingLotIndicator,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVehicleUnits,Hit&RunIndicator,OneWayIndicator,SpeedLimitNumber,CountyCode,CityCountyCode,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,LocationFirstEventCode,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,LandUseCode,SchoolBusRelatedCode,FirstAidSceneIndicator,PropertyDamageIndicator,YR,KABCO,WorkingRID,KTC_RT,KTC_MP,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Intersection,Roadway Departure,Median Cross-over,CityCrash,DACid,Intersection Crash,Segment Crash,Int_ID,CityIntersection
72494296,20200413,807,REDALE,N,0.179,1,0,2,1,Y,N,15,98,9801,Y,37.48714,-82.52739,9,3,6,1,5,3,2,1,3,Y,N,2020,C,098-CS-1244  -000,098-CS-1244  -000,0.179,0,0,0,0,1,0,0,0,0,0,0,0,0,1,DAC,1,0,195-0943,1
72518791,20200706,1800,US23,N,24.895,0,0,2,2,N,N,55,98,9801,Y,37.48705,-82.54144,8,3,6,1,1,2,2,7,3,N,N,2020,O,098-US-0023  -000,098-US-0023  -000,24.895,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
72644232,20210706,1042,BYPASS,N,6.199,1,0,2,2,N,N,55,98,9801,Y,37.47776,-82.51617,1,3,6,1,1,2,2,7,3,N,N,2021,C,098-KY-1426  -000,098-KY-1426  -000,6.199,0,0,1,1,0,0,0,1,0,0,0,1,0,1,DAC,1,0,195-1116,1
72552297,20201011,1042,US23,N,26.261,0,0,3,3,N,N,55,98,9801,Y,37.50338,-82.53232,5,3,6,1,5,3,2,1,3,N,N,2020,O,098-US-0023  -010,098-US-0023  -000,26.261,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Non-DAC,1,0,195-0861,1
72742313,20220319,2319,US23,N,27.337,0,0,2,2,N,N,55,98,9801,Y,37.51077,-82.54799,5,3,6,1,5,6,7,7,3,N,N,2022,O,098-US-0023  -000,098-US-0023  -000,27.337,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Non-DAC,1,0,195-0812,1
72478363,20200214,1706,KY1426,N,6.76,0,0,2,2,N,N,55,98,9801,Y,37.48471,-82.51141,2,97,6,1,1,2,2,1,3,N,N,2020,O,098-KY-1426  -000,098-KY-1426  -000,6.76,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,0,1,,
72438196,20191111,1505,HAROLDS BRANCH,N,,0,0,2,1,N,N,15,98,9801,Y,37.47128,-82.52117,1,97,1,2,1,2,2,5,3,N,N,2019,O,098-CS-1223  -000,098-CS-1223  -000,0.135,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,0,1,,
72573964,20201204,1815,US23,N,,0,0,2,2,Y,N,55,98,9801,Y,37.50376,-82.53216,5,3,6,1,5,6,5,1,3,N,N,2020,O,098-US-0023  -000,098-US-0023  -000,26.291,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,0,1,,
72471770,20200204,1350,MAYO,N,29.603,0,0,2,2,N,N,55,98,9801,Y,37.5315,-82.57714,5,3,6,1,6,3,2,7,3,N,N,2020,O,098-US-0023  -010,098-US-0023  -000,29.603,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,0,1,,
72585866,20210117,1141,KY3496,N,0.206,0,0,2,2,N,N,35,98,9801,Y,37.46659,-82.53128,8,97,6,1,1,2,2,1,3,N,N,2021,O,098-KY-3496  -000,098-KY-3496  -000,0.206,0,0,0,0,0,0,1,0,0,0,0,0,0,1,DAC,0,1,,
72645998,20210710,1236,MAYO,N,22.941,0,0,2,2,N,N,55,98,9801,Y,37.46535,-82.52596,1,3,6,1,1,3,2,7,3,N,N,2021,O,098-US-0023  -010,098-US-0023  -000,22.941,0,0,0,1,0,0,1,1,0,0,0,0,0,1,DAC,0,1,,
72430700,20191101,1722,US23,N,25.116,0,0,2,2,N,N,55,98,9801,Y,37.48948,-82.53882,5,3,6,1,1,2,2,1,3,N,N,2019,O,098-US-0023  -000,098-US-0023  -000,25.116,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,0,1,,
72428925,20191029,1627,US23,N,31.603,0,0,2,2,N,N,55,98,9801,Y,37.53687,-82.60168,1,3,6,1,1,2,2,7,3,N,N,2019,O,098-US-0023  -010,098-US-0023  -000,31.603,0,0,0,0,0,0,1,1,0,0,1,0,0,1,Non-DAC,1,0,195-0620,1
72615082,20210416,1405,MAYO,N,,3,0,2,2,N,N,45,98,9807,Y,37.52984,-82.57599,4,3,6,1,1,2,2,7,3,Y,N,2021,C,098-US-0023  -000,098-US-0023  -000,29.469,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Non-DAC,0,1,,
72481965,20200228,1750,THOMPSON,N,0.529,0,0,2,2,N,N,35,98,9801,Y,37.50591,-82.54317,1,3,6,1,1,2,2,1,3,N,N,2020,O,098-CS-1215  -000,098-CS-1215  -000,0.529,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Non-DAC,0,1,,
72780724,20220623,936,US23,N,19.813,0,0,1,1,N,N,55,98,9801,Y,37.44999,-82.50878,9,2,3,1,1,2,2,7,3,N,N,2022,O,098-US-0023  -000,098-US-0023  -000,19.813,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
72728614,20220202,1803,US119,N,0.124,0,0,2,2,N,N,55,98,9801,N,37.50412,-82.52982,7,3,6,1,5,6,6,7,3,N,N,2022,O,098-US-0119  -000,098-US-0119  -000,0.124,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
72528547,20200731,234,US23,N,27.31,0,0,1,1,N,N,55,98,9801,Y,37.51098,-82.54749,9,3,6,1,1,2,6,1,3,N,N,2020,O,098-US-0023  -000,098-US-0023  -000,27.31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Non-DAC,0,1,,
72661465,20210821,1538,US23,N,26.876,0,0,2,2,N,N,55,98,9801,Y,37.50972,-82.53894,5,3,6,1,1,2,2,1,3,Y,N,2021,O,098-US-0023  -010,098-US-0023  -000,26.876,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Non-DAC,0,1,,
72768762,20220603,1315,HAMBLEY,N,,0,0,2,2,N,N,25,98,9801,Y,37.48137,-82.51886,1,3,3,1,1,3,2,1,3,N,N,2022,O,098-CS-1222  -000,098-CS-1222  -000,0.72,0,0,1,0,0,0,1,0,0,0,0,0,0,1,DAC,1,0,195-1068,1
